bridge spider	# a large  often found on bridges and near water ().
bedmatics	# en sexual activityCategory:English words suffixed with -ics
boncer	# en A kind of large marble; a bonce.
Bitter electromagnet	# A strong electromagnet constructed from circular conducting metal plates (Bitter plates) and insulating spacers stacked in a helical configuration, rather than coils of wire.
bazooms	# en breasts
bromelain	# en Either of two proteolytic enzymes, found in pineapples, that are used as meat tenderizers
bicycle kick	# to perform a bicycle kick.
bioprinter	# A device that performs bioprinting.
Banksian	# en Of or pertaining to w:Joseph Banks|Joseph Banks, English botanist and naturalist.# Of or pertaining to w:Iain Banks|Iain Banks (born 1954) or his writings, most notably a utopian style of science fiction.
bioclimatology	# The interdisciplinary field of science that studies the interactions between the biosphere and the Earth's atmosphere on time scales of the order of seasons or longer (in opposition to biometeorology).
bescare	# en To fill with fright; scare all over; scare completely; terrify.
button-down	# A shirt with a button-down collarCategory:en:Clothing
bruschetta	# A light Italian dish of toasted bread with a topping of olive oil, garlic and chopped tomatoes.
Blade	# en someone connected with w:Sheffield United Football Club|Sheffield United Football Club, as a fan, player, coach etc.
beneathness	# The quality of being beneath.
bangda	# A fish of the species .|passage=Those who plunge into the novel soon find themselves thrashing in a sea of words and sentences (“On Maganchand Road the thela-wallahs already had their fruit piled high, and the fishsellers were laying out '''bangda''' and bombil and paaplet on their slabs”) unencumbered by italics or explication.}}
beclumpse	# en To benumb.
bringing	# The act by which something is brought.
broiler	# One who broils, or cooks by broiling.<!--Webster 1913--># en A device used to broil food; part of an oven or a small stove; known as a grill in UK English.# A chicken suitable for broiling.# en One who excites broils; one who engages in or promotes noisy quarrels.
balaenopteroid	# Any baleen whale of the superfamily 
biphosphoglyceric acid	# en Either of two isomeric derivatives of glyceric acid, in which two hydroxyl groups have been replaced by phosphate residues, that are metabolic products
Bridport dagger	# en a hangman's noose
bisectioning	# en division into two parts
balistoid	# en Like a fish of the genus .
barlens	# en A lens-like component of a barred spiral galaxy whose extent along the bar major axis is shorter than the bar
biomethylate	# To perform biomethylation upon.|passage=In addition, plants and microorganisms can '''biomethylate''' Se, which can result in a loss of Se to the atmosphere.}}
beswear	# en To swear by; swear about or regarding; swear at or to; promise
bioabsorption	# en The process whereby substances are absorbed by the tissues and organs of organisms
binaphthyl	# en Any of several isomeric aromatic hydrocarbons, analogous to biphenyl, formed from two naphthalene residues linked by a single bond
beach chair	# A special chair designed to provide comfort and protection from sun, wind, rain, and sand on beaches frequented by tourists.
Biellmann	# en a spin on one skate while upright, with one leg in the air, and both hands gripping the figure skate above the figure skater's head
brainwashee	# A victim of brainwashing.
blepharoptosis	# the drooping of the upper eyelid
blithesomely	# In a blithesome manner.
bikont	# en A eukaryotic cell with two flagella; thought to be the ancestor of all plants.
brainwasher	# agent noun|Agent noun of brainwash; one who brainwashes.Category:English agent nounsCategory:en:People
biantennary	# Such a glycan or glycopeptide
bullyingly	# In a bullying manner.
biparatopic	# Such a material
bottle episode	# en An episode of a television series design#Verb|designed to be inexpensive and restricted#Adjective|restricted in its use of set#Noun|sets, effect#Noun|effects, cast#Noun|cast members, etc.
bike rack	# A bicycle stand
breechloading	# Describing a breechloader gun: one that has ammunition loaded from the rear of the barrel rather than where it will exit.
blackophobic	# en Having a fear or loathing of black people.
blast cell	# en A cell that produces something, such as a fibroblast or osteoblast.# An undifferentiated or immature cell.
benzopyrone	# en Either of chromone and coumarin, the two ketone derivatives of benzopyran that constitute the core skeleton of many flavonoid compounds.
boofhead tortoise	# A small tortoise, , of northern Australia.Category:en:Turtles
blue devils	# en low spirits; depression# en depressants, especially the barbiturate amobarbital.
bud out	# en To develop buds# en To erupt or to push out, as or in the manner of a bud# en To produce in the manner of a bud or as though by budding
brize	# The breezefly.|lang=en|year=c. 1602|first=William|last=Shakespeare|authorlink=William Shakespeare|title=|section=act 1, scene 3|lines=48–49|passage=The herd hath more annoyance by the '''brize''', / Than by the tiger}}
